card_id,customer_id,card_number,card_expiry_date,card_limit,card_balance,card_status
be724d09-9f1c-41ca-8a11-4aee6935b2d1,098db4dd-bffd-43dd-af7e-68087bd6fb82,3539785784086027,2021-09-18,50501.92,50501.92,Active
a70c9649-00be-4978-892f-97b6434b76e7,8a169ea5-5c65-4269-9426-2ac29fc1403a,349441669738573,2021-04-08,42661.08,36684.59,Active
69da48b8-f640-4f84-b7d3-91a7ec4c5a85,8d3daaf8-9965-478b-a141-67e8bb6779a4,213102099970151,2024-02-15,85800.54,81183.86,Inactive
e0efaa91-2fad-477a-a563-e0684b9ac011,8bb7ee36-d351-4768-842d-beb3929cd5b0,585969699982,2022-03-17,60054.44,60054.44,Inactive
31c7af2b-24b7-4a4d-9a65-8b7bae966e90,ad0cc800-86ee-407c-b031-e41d3b8026c9,2705517676306183,2024-06-16,92641.84,82544.55,Blocked
112dc99d-ba6a-49ff-9698-34299b11de9f,e91d380f-fff5-420a-a3ec-5a7d5b902adf,4201099601138127,2021-03-21,81406.72,69285.9,Active
d6a55bfb-ed8e-459b-a947-8fabf0e33553,bb1f39ca-70cd-4af9-a1ae-3c6de89d6fa9,4856832082219,2022-01-14,97468.75,40431.19,Inactive
e8c63141-4bc4-4619-820d-f35b544477eb,3b814788-5752-4795-abe0-272925d07234,6011437518600778,2020-04-25,92533.18,46620.34,Blocked
d7bb73c8-dcba-454e-b2ff-e0fa7c9080ed,b0d378e9-7b67-42a1-b72c-642888fb17ed,5522926842175725,2024-03-08,9035.85,9035.85,Active
ad9f7681-1d8e-45eb-a2c9-cfae00e57f26,5453f062-1592-4196-a4d8-d9e668d4e0dc,38526085122224,2024-05-25,95024.91,594.69,Inactive
819ee45a-dafb-4542-a49b-46e04ebf7ab4,0fcb0956-cd56-4b18-bde0-686495b11ad2,3584812954746372,2022-07-27,76374.38,10785.07,Blocked
cf7b5ab4-df5f-459b-ad3b-c64913e8d18d,607eb7f6-ae99-455a-be48-b8870154671a,3591448960104057,2024-03-10,95625.59,88677.16,Active
363a7917-17ca-456b-af7a-12977afbc9e6,a030bbc9-2030-492d-a671-30bc5f27af7f,5454215929864639,2024-01-28,60850.69,745.63,Inactive
dff2af4f-0a8a-4d86-ab5a-b3e55310785f,c670e901-6cab-40b5-bc8d-79d3bc4b9c63,4463208930426558783,2021-09-30,55282.82,35001.58,Blocked
d974f582-6be9-41ec-b2ed-dc1f00110ca8,4bc7a3ad-117f-41ba-9667-8a2187cc7988,4403882877014,2022-02-14,67863.25,67863.25,Inactive
90ffa197-13ee-4f66-8423-b5979ac10e90,cdaacf48-377c-4a0c-afae-e7ba44e499d3,4713841651563733,2022-01-28,2386.26,2386.26,Active
0271812a-0a42-4740-a953-2e370e151f36,abb53cd6-53bc-471a-80d6-5059ff3fb57b,4435439685450881,2020-09-25,14981.61,11134.47,Active
8e85117b-2424-446a-8608-cea9686ea160,3f59eb61-2d74-4830-bb83-640533c51b14,4546851294791,2023-01-06,95244.59,30512.61,Active
7a462c79-65ad-422f-9f0c-8ccb575f4035,5638779c-a43b-4ba6-8a4c-84d21d9e1dbe,3577464106007763,2021-11-05,51147.64,8468.0,Active
2996899c-0a35-4600-a523-6ec2004e10fe,0927a0a5-23ad-436e-9c5f-7391c7666210,4616174888379,2021-01-09,51165.36,51165.36,Inactive
f302c208-ee6d-48ab-b30b-ebc6dbc4781d,20e153d3-bcab-4a36-b2f6-e743def58f3e,2472341099527015,2020-04-25,47391.29,18624.25,Blocked
de4adb49-8421-4482-85e0-ff8879ed03f7,3f996104-08fe-48bd-b76d-2de1b9341f27,3524970884594669,2022-07-14,83222.89,4722.56,Inactive
125123a1-a188-4e67-97fd-1ea91ee43a9d,344d3899-e9e8-4d4e-835a-c90de30d34a3,30549277136933,2020-01-14,1712.13,1712.13,Active
4a199f32-2f7e-48f0-9968-6d024e1864f9,299f8071-5c17-43d0-af95-1858143f5bac,180058045017175,2024-04-18,83730.82,10792.26,Inactive
35a02b6e-3a44-4674-a153-cb2749a4d415,05303568-5a18-475f-abb3-c0ba83fd1eba,3589208322805864,2022-05-20,68952.49,19704.66,Active
1291c9cf-4325-4fce-b9e7-7ba61adef20e,2ac770c1-cf83-4d56-bade-8bbbe41f580e,3595204360411345,2021-08-28,38797.94,17235.37,Blocked
216053ed-4bd9-41f7-8560-7186d5dfc19f,c9e20807-d603-460b-b1e7-dc8dde2c573b,4559970210129242691,2021-07-30,63005.78,63005.78,Inactive
59192395-4a28-4603-b563-656695f9fbe4,6604dc18-7cbe-48ee-b2f8-f0201027e2b6,30002901258194,2024-03-22,89926.15,89926.15,Inactive
96deda83-ac9a-4f52-993f-1bb0ecac5842,012bf97d-062c-47f0-a15f-53b0cdcdcfab,5200302029635965,2020-06-18,9802.94,9802.94,Blocked
b63cb688-fd2c-4acf-8bd0-ad09abbd4b99,d0785c22-9caf-4cd2-a019-1896e93a66de,36191529133246,2022-12-07,89575.06,23393.19,Active
51ec1b8d-ee27-44d6-a53e-d8c44e2c6c2b,2c248eab-8ba0-40da-a7f1-b0312e127956,3561862190895068,2023-08-11,89415.28,222.19,Blocked
5c6b5a51-b91d-4a3a-9f48-972b1943fafa,7e8b8613-9ae2-4699-be09-8f30328802aa,589080997614,2021-06-30,19105.74,8159.23,Blocked
aa34869a-48f5-4e81-9846-b19a4d27b102,26a68733-4790-4ae9-9e02-1413153da470,3567100504087872,2022-06-29,70318.18,60717.99,Inactive
3ca0e03e-2ad4-459b-a1dc-5e56c42fc79a,bd8a0b35-dd70-4042-97e1-9c0e1ef5d9dc,4706635445901772,2021-08-22,24752.84,24752.84,Inactive
c3a7833d-f1aa-4f34-b806-3fa92909cfd6,bb868243-54dc-4c3c-93a7-1da2ebbf4f5d,30576392396878,2023-09-10,5072.03,5072.03,Blocked
eb03959e-05e4-4bb3-9c1d-04f5773367f4,e138d185-d18e-453a-b4fa-5b13bb00b2e1,6526487256545774,2022-01-01,59436.34,59436.34,Blocked
60a43588-7e3d-4cbc-a2ee-cf564b9b225b,2d21259c-4b60-4f8b-9291-4144f4eb6d5c,4553290158822182050,2020-03-24,51699.44,51699.44,Blocked
9657ef4c-7c11-43e7-a71e-13cbe9dfc88b,138f6e28-239c-4413-8d0e-f5dd53d94386,38079361172281,2023-03-25,71762.58,29007.73,Inactive
1b925190-6616-497b-be59-84a8fa6d1cb3,edc081c8-d6b7-42f7-80bf-133d2b740c7b,3538167608627024,2020-07-10,92017.06,92017.06,Active
8f05387c-7031-452c-9998-1bd5cadfa209,bcbeef13-7005-496e-9aa6-05c867f58e2c,676306859841,2021-06-30,67926.75,51531.37,Blocked
01b060f9-20b0-46fb-8d33-600e8fe76faa,c36e4ccf-91a0-46f8-a412-402ecdf02248,4720524147864,2020-08-03,99148.7,15289.01,Blocked
21d2a53d-025f-428f-b353-1455c3cca076,364a70bc-4e9d-432c-b804-24c6267cbd31,564911550429,2023-03-30,83026.5,28410.59,Blocked
3c8d4b08-dcc3-4b30-8233-71a61e88832f,e91d380f-fff5-420a-a3ec-5a7d5b902adf,342639741797502,2021-05-06,74187.04,74187.04,Inactive
f857daec-6082-4233-8b0f-3e6ca02bf3cd,e138d185-d18e-453a-b4fa-5b13bb00b2e1,577609779530,2022-10-05,13755.88,13755.88,Inactive
c73819c8-db36-4d5b-8d87-ad223f07251f,23a065d5-837b-4797-91c8-b3635db9e95c,3585770415864219,2024-05-21,24940.38,24940.38,Blocked
25dd1194-bf65-4a92-82f3-f4d21dcc5554,eb99fa41-6f2b-4d3b-bdcc-9b8174fdba11,5323493645347606,2022-11-13,23251.57,14306.62,Active
0937fe9a-d7ab-4538-9444-6a13855ef899,839dfe7f-d3c4-4f2e-9d13-45df939db60b,4685522706068604052,2021-05-21,81050.9,12721.91,Blocked
c1e93ff6-b332-4df0-a5dd-4dcbe7172503,c7dd3e0d-59fa-4391-9341-c6f078d6ead3,676276440630,2022-05-23,52795.53,41316.4,Blocked
a1d7cd86-103f-4cb2-b49b-cdfe92f38512,d6e9e323-ea8e-4797-b255-f8815c11e2a4,30154936379899,2022-05-25,12619.23,12619.23,Inactive
4c92585e-0489-4924-a15e-cd246f4337b1,aee05bd6-bdfb-4406-86be-65727507e5da,4696628533573324,2020-06-13,13017.2,13017.2,Blocked
fe7d456a-dfd4-436f-a6ef-7a4b46cb046a,ade3b664-2d26-464a-960e-c60abe38d15c,3531291637240521,2021-05-14,80038.56,71075.1,Active
14df4380-4da8-452a-ab4e-d546d546866d,8621f96d-01f9-48a6-8edc-53788cc94c56,4347237971751906,2022-05-29,7586.2,7586.2,Active
e04fee0b-8ab9-4d75-a6e8-64cc75324cbc,4c522f33-46ab-466a-9b95-9d4168779c77,4305715126685093468,2024-05-30,50560.02,27505.33,Blocked
934a57e7-1cff-4166-ae01-97b2cb3d71e8,fc925239-e5a2-4dcf-baf8-d89f5bcffa6f,4080886464157061,2022-06-27,9616.32,9616.32,Active
12b38a8f-21df-43fd-bca9-36c05705f25e,ef37f4aa-3c63-4a1d-9b38-38886bb55f47,6553482785752641,2024-02-10,38582.82,38582.82,Active
19edd0dc-0dfa-4be7-a1ba-0a95b853ee91,ca16352a-4d97-4b6c-8cb5-de47bc4c4c60,6011681023778906,2020-06-01,62274.06,59306.78,Inactive
1e54afb0-0b38-4cb9-b03c-a3f79db52aee,96df02a8-c581-4cc6-bc2b-40c0a660bae5,3567451584937894,2024-06-01,99482.77,72430.3,Inactive
54622245-db3b-462b-872c-0437d6a29df8,849dd8e2-b8a4-49ba-b842-ed94489a234e,4119510132560,2022-03-09,72037.59,68214.25,Inactive
