customer_id,customer_name,customer_email,customer_phone,customer_address,customer_city,customer_state,customer_zip_code
c526d124-a6df-4611-98cf-76d133d9f30b,Robert Diaz,pamelamiles@example.com,001-207-668-1726x4926,"6047 Jones Corner Apt. 512
Stevenberg, RI 93544",East Kimberly,FL,69211
ad4945a1-8e45-42c8-a28b-eb0417b83e09,Jacob Schultz,jaime02@example.org,669-335-7597,"89692 Karen Manors
Davefort, PR 10815",Williamburgh,ID,59236
6bff71c2-67e6-45e9-947e-062b3d400319,Chad Doyle,hallcheryl@example.net,(883)623-1600,"01135 Chad Estate Apt. 351
Lesliefort, MD 79206",Hollyville,AR,19692
6f30c6a3-64cd-4654-b317-20c7cfb2d6da,Jamie Buckley,lawsonsean@example.net,863.725.8836,"4433 Barry Flat
Emilymouth, ND 55178",South Latoya,MD,96020
2896c78f-9375-4a22-9598-9cda3c474a0b,Christopher Montoya,joannegomez@example.org,469-438-5306x94250,"USS Chavez
FPO AA 88338",South Rebeccaview,WY,69449
24ba210a-1b05-43ce-b5fc-3ede7968caa1,Benjamin Gonzalez,monicajuarez@example.org,301-337-3955,"3077 Bridges Flats
Port Hannah, ID 84601",Melaniefort,MN,69075
f355407f-cc6c-4c0a-bf2d-7f52c4e94579,Mark Rodriguez,robinsanders@example.com,+1-472-602-7114,"678 William Roads Apt. 335
Morenoview, WI 79871",Sampsonfort,SD,86859
68f80a51-fc7f-4d0c-9898-b9f95f9a3074,Stephen Huerta,jacksonjason@example.com,227.641.9090x704,"623 Simmons Road
Coffeymouth, WI 10619",Hobbsview,ME,25068
a7feae1d-030c-4416-b662-32a35bacb95e,Maureen Mann,morenojoseph@example.com,(476)964-4257x003,"75047 Hawkins Brook
Aliville, VI 50842",Jeremyshire,PW,78668
702b9166-88cb-4f76-9f96-2324d31aff04,Alicia Gonzales DDS,hessjennifer@example.org,+1-843-882-3317x0776,"202 Price Land Suite 674
New Christopherport, AZ 75823",Zacharychester,ID,95825
b1e85634-3be6-4c76-9f67-762f167c6efa,Claudia Parker,thomasrobert@example.net,648-343-2688x989,"4898 Evan Mall
Lake Jesse, FL 45784",Strongberg,MS,45598
2c248eab-8ba0-40da-a7f1-b0312e127956,Grace Lee,leemelissa@example.com,873-708-5212x617,"156 Sherry Plain
Tracybury, AS 49793",Janebury,AK,51763
9871b189-62d4-44d8-9af4-09d9624497fd,Maria Frost,stewartchristopher@example.org,+1-852-441-0656,"716 Hamilton Roads Suite 243
Port Mary, IN 71728",Lake Stephanieview,OH,21666
c27c2ae6-7f8b-41a8-a451-2f39ac3f373c,Brenda Smith,,247.718.4131x89381,"1585 Sheri Landing Suite 905
Jordanton, CO 15260",Lake Monicaville,OK,92043
